"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"194","Synergeio","src/Synergeio/SynergeioMain.java","5","1085","Found 'DD'-anomaly for variable 't' (lines '1.085'-'1.092').","Controversial Rules","DataflowAnomalyAnalysis"
"195","Synergeio","src/Synergeio/SynergeioMain.java","5","1085","Found 'DD'-anomaly for variable 't' (lines '1.085'-'1.097').","Controversial Rules","DataflowAnomalyAnalysis"
"196","Synergeio","src/Synergeio/SynergeioMain.java","5","1198","Found 'DU'-anomaly for variable 'at' (lines '1.198'-'1.218').","Controversial Rules","DataflowAnomalyAnalysis"
"197","Synergeio","src/Synergeio/SynergeioMain.java","3","1203","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"198","Synergeio","src/Synergeio/SynergeioMain.java","3","1245","The method 'kataxwrhshErgasias' has a Cyclomatic Complexity of 14.","Code Size Rules","CyclomaticComplexity"
"199","Synergeio","src/Synergeio/SynergeioMain.java","5","1250","Found 'DD'-anomaly for variable 'c' (lines '1.250'-'1.254').","Controversial Rules","DataflowAnomalyAnalysis"
"200","Synergeio","src/Synergeio/SynergeioMain.java","5","1250","Found 'DU'-anomaly for variable 'c' (lines '1.250'-'1.344').","Controversial Rules","DataflowAnomalyAnalysis"
"201","Synergeio","src/Synergeio/SynergeioMain.java","5","1254","Found 'DU'-anomaly for variable 'c' (lines '1.254'-'1.344').","Controversial Rules","DataflowAnomalyAnalysis"
"202","Synergeio","src/Synergeio/SynergeioMain.java","5","1267","Found 'DD'-anomaly for variable 'erg' (lines '1.267'-'1.289').","Controversial Rules","DataflowAnomalyAnalysis"
"203","Synergeio","src/Synergeio/SynergeioMain.java","5","1267","Found 'DD'-anomaly for variable 'erg' (lines '1.267'-'1.296').","Controversial Rules","DataflowAnomalyAnalysis"
"204","Synergeio","src/Synergeio/SynergeioMain.java","5","1267","Found 'DD'-anomaly for variable 'erg' (lines '1.267'-'1.303').","Controversial Rules","DataflowAnomalyAnalysis"
"205","Synergeio","src/Synergeio/SynergeioMain.java","5","1267","Found 'DU'-anomaly for variable 'erg' (lines '1.267'-'1.344').","Controversial Rules","DataflowAnomalyAnalysis"
"206","Synergeio","src/Synergeio/SynergeioMain.java","3","1277","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"207","Synergeio","src/Synergeio/SynergeioMain.java","3","1278","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"208","Synergeio","src/Synergeio/SynergeioMain.java","5","1284","Found 'DD'-anomaly for variable 'h1' (lines '1.284'-'1.284').","Controversial Rules","DataflowAnomalyAnalysis"
"209","Synergeio","src/Synergeio/SynergeioMain.java","5","1284","Found 'DU'-anomaly for variable 'h1' (lines '1.284'-'1.344').","Controversial Rules","DataflowAnomalyAnalysis"
"210","Synergeio","src/Synergeio/SynergeioMain.java","5","1285","Found 'DD'-anomaly for variable 'm1' (lines '1.285'-'1.285').","Controversial Rules","DataflowAnomalyAnalysis"
"211","Synergeio","src/Synergeio/SynergeioMain.java","5","1285","Found 'DU'-anomaly for variable 'm1' (lines '1.285'-'1.344').","Controversial Rules","DataflowAnomalyAnalysis"
"212","Synergeio","src/Synergeio/SynergeioMain.java","3","1289","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"213","Synergeio","src/Synergeio/SynergeioMain.java","3","1289","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"214","Synergeio","src/Synergeio/SynergeioMain.java","3","1296","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"215","Synergeio","src/Synergeio/SynergeioMain.java","3","1296","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"216","Synergeio","src/Synergeio/SynergeioMain.java","3","1301","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"217","Synergeio","src/Synergeio/SynergeioMain.java","3","1303","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"218","Synergeio","src/Synergeio/SynergeioMain.java","5","1352","Found 'DU'-anomaly for variable 'at' (lines '1.352'-'1.376').","Controversial Rules","DataflowAnomalyAnalysis"
"219","Synergeio","src/Synergeio/SynergeioMain.java","5","1353","Found 'DD'-anomaly for variable 't' (lines '1.353'-'1.358').","Controversial Rules","DataflowAnomalyAnalysis"
"220","Synergeio","src/Synergeio/SynergeioMain.java","5","1353","Found 'DU'-anomaly for variable 't' (lines '1.353'-'1.376').","Controversial Rules","DataflowAnomalyAnalysis"
"221","Synergeio","src/Synergeio/SynergeioMain.java","3","1357","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"222","Synergeio","src/Synergeio/SynergeioMain.java","5","1358","Found 'DU'-anomaly for variable 't' (lines '1.358'-'1.376').","Controversial Rules","DataflowAnomalyAnalysis"
"223","Synergeio","src/Synergeio/SynergeioMain.java","3","1368","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"224","Synergeio","src/Synergeio/SynergeioMain.java","3","1373","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"225","Synergeio","src/Synergeio/SynergeioMain.java","3","1379","The method 'diekperaiwshErgasias' has a Cyclomatic Complexity of 11.","Code Size Rules","CyclomaticComplexity"
"226","Synergeio","src/Synergeio/SynergeioMain.java","5","1384","Found 'DD'-anomaly for variable 't' (lines '1.384'-'1.389').","Controversial Rules","DataflowAnomalyAnalysis"
"227","Synergeio","src/Synergeio/SynergeioMain.java","3","1388","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"228","Synergeio","src/Synergeio/SynergeioMain.java","3","1401","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"229","Synergeio","src/Synergeio/SynergeioMain.java","3","1403","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"230","Synergeio","src/Synergeio/SynergeioMain.java","3","1425","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"231","Synergeio","src/Synergeio/SynergeioMain.java","3","1428","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"232","Synergeio","src/Synergeio/SynergeioMain.java","3","1489","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"233","Synergeio","src/Synergeio/SynergeioMain.java","3","1497","The method 'actionPerformed' has a Cyclomatic Complexity of 13.","Code Size Rules","CyclomaticComplexity"
"234","Synergeio","src/Synergeio/SynergeioMain.java","3","1542","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"235","Synergeio","src/Synergeio/Texnikos.java","3","2","Package name contains upper case characters","Naming Rules","PackageCase"
"236","Synergeio","src/Synergeio/Texnikos.java","3","8","Abstract classes should be named AbstractXXX","Naming Rules","AbstractNaming"
"237","Synergeio","src/Synergeio/Texnikos.java","3","10","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"238","Synergeio","src/Synergeio/Texnikos.java","3","10","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"239","Synergeio","src/Synergeio/Texnikos.java","3","10","Avoid variables with short names like a","Naming Rules","ShortVariable"
"240","Synergeio","src/Synergeio/Texnikos.java","3","10","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"241","Synergeio","src/Synergeio/Texnikos.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"242","Synergeio","src/Synergeio/Texnikos.java","3","10","Private field 'a' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"243","Synergeio","src/Synergeio/Texnikos.java","3","10","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"244","Synergeio","src/Synergeio/Texnikos.java","3","11","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"245","Synergeio","src/Synergeio/Texnikos.java","3","11","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"246","Synergeio","src/Synergeio/Texnikos.java","3","11","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"247","Synergeio","src/Synergeio/Texnikos.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"248","Synergeio","src/Synergeio/Texnikos.java","3","11","Private field 'ergasies' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"249","Synergeio","src/Synergeio/Texnikos.java","3","11","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"250","Synergeio","src/Synergeio/Texnikos.java","3","12","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"251","Synergeio","src/Synergeio/Texnikos.java","3","12","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"252","Synergeio","src/Synergeio/Texnikos.java","3","12","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"253","Synergeio","src/Synergeio/Texnikos.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"254","Synergeio","src/Synergeio/Texnikos.java","3","12","Private field 'istoriko' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"255","Synergeio","src/Synergeio/Texnikos.java","3","12","Use ArrayList instead of Vector","Optimization Rules","UseArrayListInsteadOfVector"
"256","Synergeio","src/Synergeio/Texnikos.java","3","15","Avoid variables with short names like AT","Naming Rules","ShortVariable"
"257","Synergeio","src/Synergeio/Texnikos.java","3","15","Parameter 'AT' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"258","Synergeio","src/Synergeio/Texnikos.java","3","15","Parameter 'dieythinsi' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"259","Synergeio","src/Synergeio/Texnikos.java","3","15","Parameter 'epitheto' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"260","Synergeio","src/Synergeio/Texnikos.java","3","15","Parameter 'onoma' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"261","Synergeio","src/Synergeio/Texnikos.java","3","15","Parameter 'thl' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"262","Synergeio","src/Synergeio/Texnikos.java","3","20","Avoid variables with short names like e","Naming Rules","ShortVariable"
"263","Synergeio","src/Synergeio/Texnikos.java","3","25","Avoid variables with short names like e","Naming Rules","ShortVariable"
"264","Synergeio","src/Synergeio/Texnikos.java","3","30","Avoid variables with short names like i","Naming Rules","ShortVariable"
"265","Synergeio","src/Synergeio/Texnikos.java","3","35","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"266","Synergeio","src/Synergeio/Texnikos.java","3","35","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"267","Synergeio","src/Synergeio/Texnikos.java","3","35","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
"268","Synergeio","src/Synergeio/Texnikos.java","3","65","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"269","Synergeio","src/Synergeio/Texnikos.java","3","65","Avoid using implementation types like 'Vector'; use the interface instead","Type Resolution Rules","LooseCoupling"
"270","Synergeio","src/Synergeio/Texnikos.java","3","65","Consider replacing this Vector with the newer java.util.List","Migration Rules","ReplaceVectorWithList"
